convex_hull_image(image, offset_coordinates=False) [faster]:

         896 function calls (895 primitive calls) in 4.403 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.403    4.403 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:2000(_to_unmasked_float_array)
        6    0.000    0.000    0.000    0.000 __init__.py:825(__getitem__)
        1    0.000    0.000    0.000    0.000 _geometry.py:7(polygon_clip)
        3    0.000    0.000    0.000    0.000 _methods.py:25(_amax)
        3    0.000    0.000    0.001    0.000 _methods.py:28(_amin)
        1    0.000    0.000    0.000    0.000 _methods.py:37(_any)
        4    0.000    0.000    0.000    0.000 _methods.py:40(_all)
        2    0.000    0.000    0.000    0.000 _ni_support.py:55(_normalize_sequence)
        1    0.000    0.000    0.000    0.000 _ni_support.py:71(_get_output)
        1    0.000    0.000    0.004    0.004 arraysetops.py:113(unique)
        1    0.001    0.001    0.004    0.004 arraysetops.py:250(_unique1d)
        1    0.054    0.054    4.403    4.403 convex_hull.py:21(convex_hull_image)
        1    0.000    0.000    0.000    0.000 core.py:6192(isMaskedArray)
        1    0.001    0.001    0.011    0.011 draw.py:186(polygon_perimeter)
       64    0.000    0.000    0.001    0.000 draw.py:331(line)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1837(product)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1973(all)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2174(amax)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2275(amin)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2723(around)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2792(round_)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:55(_wrapfunc)
        1    0.000    0.000    0.000    0.000 morphology.py:123(generate_binary_structure)
        1    0.000    0.000    3.993    3.993 morphology.py:214(_binary_erosion)
        1    0.009    0.009    4.002    4.002 morphology.py:373(binary_dilation)
        1    0.000    0.000    0.000    0.000 morphology.py:47(_center_is_true)
        1    0.066    0.066    4.068    4.068 morphology.py:972(binary_fill_holes)
        2    0.000    0.000    0.000    0.000 ntpath.py:415(normpath)
        3    0.000    0.000    0.000    0.000 ntpath.py:43(normcase)
        2    0.000    0.000    0.000    0.000 ntpath.py:483(abspath)
        2    0.000    0.000    0.000    0.000 ntpath.py:63(join)
        6    0.000    0.000    0.000    0.000 ntpath.py:96(splitdrive)
        1    0.000    0.000    0.000    0.000 numeric.py:150(ones)
        1    0.000    0.000    0.000    0.000 numeric.py:2008(indices)
      141    0.000    0.000    0.129    0.001 numeric.py:463(asarray)
        6    0.000    0.000    0.000    0.000 numeric.py:534(asanyarray)
        3    0.000    0.000    0.000    0.000 numeric.py:586(ascontiguousarray)
        3    0.000    0.000    0.000    0.000 os.py:446(get)
        3    0.000    0.000    0.000    0.000 os.py:512(getenv)
        3    0.000    0.000    0.000    0.000 path.py:105(__init__)
        3    0.000    0.000    0.000    0.000 path.py:204(_update_values)
        7    0.000    0.000    0.000    0.000 path.py:214(vertices)
